ge1 - 1.440449e+00
ge2 - 1.395731e+00
ge3 - 1.406654e+00
ge4 - 1.089996e+00
ge5.1 - 1.133084e+00
ge5.2 - 1.172590e+00
ge6 - 7.197570e-01
ge7 - 
ge8 - 

bez optymalizacji, bez -O
100, 1.409000e-03
200, 1.380500e-02
300, 4.488000e-02
400, 9.947500e-02
500, 1.927610e-01
600, 3.384250e-01
700, 5.262150e-01
800, 7.794760e-01
900, 1.128359e+00
1000, 1.520906e+00
1100, 2.065529e+00
1200, 2.830603e+00
1300, 3.428489e+00
1400, 4.271674e+00
1500, 5.293003e+00
1600, 6.215296e+00
1700, 7.815046e+00
1800, 8.608864e+00
1900, 1.009240e+01
2000, 1.195931e+01

bez optymalizacji, -O2
100, 3.730000e-04
200, 3.042000e-03
300, 1.040400e-02
400, 2.546900e-02
500, 4.793600e-02
600, 8.086300e-02
700, 1.168410e-01
800, 1.788080e-01
900, 2.556910e-01
1000, 3.553490e-01
1100, 4.686810e-01
1200, 6.333660e-01
1300, 8.682400e-01
1400, 1.135679e+00
1500, 1.358081e+00
1600, 1.713593e+00
1700, 2.021804e+00
1800, 2.411904e+00
1900, 2.868993e+00
2000, 3.572741e+00

z optymalizacja, bez -O2
100, 8.450000e-04
200, 6.763000e-03
300, 2.283900e-02
400, 5.374200e-02
500, 9.659200e-02
600, 1.632580e-01
700, 2.538480e-01
800, 3.817970e-01
900, 5.376290e-01
1000, 7.612520e-01
1100, 1.008154e+00
1200, 1.339820e+00
1300, 1.747665e+00
1400, 2.234517e+00
1500, 2.813667e+00
1600, 3.389680e+00
1700, 4.167876e+00
1800, 4.982029e+00
1900, 5.924220e+00
2000, 7.076655e+00


z optymalizacja, -O2
100, 1.690000e-04
200, 1.428000e-03
300, 4.738000e-03
400, 1.172500e-02
500, 2.302900e-02
600, 4.023100e-02
700, 6.065300e-02
800, 8.652500e-02
900, 1.265940e-01
1000, 1.781390e-01
1100, 2.367310e-01
1200, 3.267520e-01
1300, 4.220390e-01
1400, 5.994780e-01
1500, 8.182950e-01
1600, 9.305200e-01
1700, 1.161947e+00
1800, 1.383484e+00
1900, 1.648526e+00
2000, 1.992148e+00
